route_id,obs_len,rank,neighbor_route_id,probability,cos_dist,ade_raw_m,fde_raw_m,ade_snapped_m,fde_snapped_m,corridor_dist_raw_m,corridor_dist_snapped_m,is_top1
C011,12,5,G014,0.139022,0.030403,19.0907,31.4996,19.0247,31.4996,0.2862,0.0,0
C011,12,6,C009,0.129177,0.034075,19.9418,31.4996,20.035,31.4996,0.2481,0.0,0
C011,16,1,C027,0.229311,0.001788,0.5713,0.0,0.6761,0.0,0.2507,0.0,1
C011,16,2,C004,0.181514,0.013476,11.7499,19.0121,11.879,19.0121,0.3677,0.0,0
C011,16,3,C008,0.168198,0.017285,12.2784,19.0121,12.3816,19.0121,0.4079,0.0,0
C011,16,4,C024,0.160777,0.019541,9.9585,19.0121,10.0208,19.0121,0.3372,0.0,0
C011,16,5,G014,0.134751,0.028371,19.0907,31.4996,19.0247,31.4996,0.2862,0.0,0
C011,16,6,C009,0.125449,0.031947,19.9418,31.4996,20.035,31.4996,0.2481,0.0,0
C011,20,1,C027,0.230122,0.00076,0.5713,0.0,0.6761,0.0,0.2507,0.0,1
C011,20,2,C004,0.201253,0.007462,11.7499,19.0121,11.879,19.0121,0.3677,0.0,0
C011,20,3,C008,0.191726,0.009887,12.2784,19.0121,12.3816,19.0121,0.4079,0.0,0
C011,20,4,C024,0.146014,0.023505,9.9585,19.0121,10.0208,19.0121,0.3372,0.0,0
C011,20,5,G014,0.119957,0.033334,19.0907,31.4996,19.0247,31.4996,0.2862,0.0,0
C011,20,6,C009,0.110928,0.037247,19.9418,31.4996,20.035,31.4996,0.2481,0.0,0
C012,12,1,C013,0.337148,0.019727,45.0701,130.3039,45.2155,130.3039,0.4728,0.0,1
C012,12,2,G009,0.187314,0.049114,7.373,1.1024,7.5581,1.1024,0.4432,0.0,0
C012,12,3,C016,0.138481,0.064217,55.2926,90.7794,55.2713,90.7794,0.0631,0.0,0
C012,12,4,G006,0.135339,0.065364,58.9641,118.2945,58.9241,118.2945,0.3709,0.0,0
C012,12,5,G007,0.107047,0.07709,53.3742,130.3039,53.379,130.3039,0.5321,0.0,0
C012,12,6,C007,0.094671,0.083233,56.6527,64.7807,56.6959,64.7807,0.1337,0.0,0
C012,16,1,C013,0.330266,0.019136,45.0701,130.3039,45.2155,130.3039,0.4728,0.0,1
C012,16,2,G009,0.180601,0.049317,7.373,1.1024,7.5581,1.1024,0.4432,0.0,0
C012,16,3,G006,0.152858,0.057656,58.9641,118.2945,58.9241,118.2945,0.3709,0.0,0
C012,16,4,C016,0.133147,0.064559,55.2926,90.7794,55.2713,90.7794,0.0631,0.0,0
C012,16,5,C007,0.105418,0.076234,56.6527,64.7807,56.6959,64.7807,0.1337,0.0,0
C012,16,6,G007,0.09771,0.080031,53.3742,130.3039,53.379,130.3039,0.5321,0.0,0
C012,20,1,C013,0.356895,0.004706,45.0701,130.3039,45.2155,130.3039,0.4728,0.0,1
C012,20,2,G009,0.241069,0.024324,7.373,1.1024,7.5581,1.1024,0.4432,0.0,0
C012,20,3,C016,0.133793,0.053764,55.2926,90.7794,55.2713,90.7794,0.0631,0.0,0
C012,20,4,G007,0.113809,0.061852,53.3742,130.3039,53.379,130.3039,0.5321,0.0,0
C012,20,5,G006,0.088263,0.074562,58.9641,118.2945,58.9241,118.2945,0.3709,0.0,0
C012,20,6,C019,0.06617,0.088967,78.4717,103.8458,78.2996,103.8458,0.2666,0.0,0
C013,12,1,C012,0.322924,0.018878,45.0701,130.3039,44.9732,130.3039,0.3779,0.0,1
C013,12,2,G009,0.187074,0.046173,51.1498,130.1676,51.1772,130.1676,0.4432,0.0,0
C013,12,3,C016,0.175598,0.049339,62.8629,133.5319,62.8522,133.5319,0.0631,0.0,0
C013,12,4,G007,0.121065,0.067932,8.8096,0.0,8.8584,0.0,0.5321,0.0,0
C013,12,5,G006,0.103456,0.075791,52.6782,12.242,52.6345,12.242,0.3709,0.0,0
C013,12,6,C007,0.089883,0.082823,93.7389,145.086,93.7784,145.086,0.1337,0.0,0
C013,16,1,C012,0.332517,0.012275,45.0701,130.3039,44.9732,130.3039,0.3779,0.0,1
C013,16,2,G009,0.174763,0.044438,51.1498,130.1676,51.1772,130.1676,0.4432,0.0,0
C013,16,3,C016,0.167883,0.046446,62.8629,133.5319,62.8522,133.5319,0.0631,0.0,0
C013,16,4,G006,0.120745,0.062925,52.6782,12.242,52.6345,12.242,0.3709,0.0,0
